Subject,Gain,Background,Speed_Eye
10003,1.5,2,36.81966812
10003,0,2,36.12053558
10003,-1.5,2,34.6183468
10003,1.5,1,22.97922332
10003,0,1,22.78963883
10003,-1.5,1,23.22828047
20114,1.5,2,41.14519314
20114,0,2,39.32611439
20114,-1.5,2,40.64453375
20114,1.5,1,23.29650448
20114,0,1,24.50805416
20114,-1.5,1,24.5052235
20229,1.5,2,17.95122175
20229,0,2,16.30235669
20229,-1.5,2,16.86449335
20229,1.5,1,17.26244876
20229,0,1,16.90274516
20229,-1.5,1,17.60704264
20234,1.5,2,36.06275037
20234,0,2,34.74808053
20234,-1.5,2,31.22105944
20234,1.5,1,21.3860351
20234,0,1,21.65491089
20234,-1.5,1,22.42301845
20237,1.5,2,18.2993511
20237,0,2,17.64793819
20237,-1.5,2,17.47784518
20237,1.5,1,15.16382312
20237,0,1,14.8357481
20237,-1.5,1,15.34013738
20256,1.5,2,33.33866697
20256,0,2,24.94115867
20256,-1.5,2,31.07057373
20256,1.5,1,20.49183838
20256,0,1,19.72394625
20256,-1.5,1,19.86082918