Subject,Background,Gain,GroupCt_Videos,D_World,Alpha_World,D_Perceived
20114,1,-1.5,6,6.655431016,0.888189054,3.07014678
20114,1,-1.5,8,14.59213145,1.044224721,8.321068753
20114,1,-1.5,9,13.41253831,1.039846359,3.278263103
20114,1,-1.5,10,10.67969995,0.892149633,3.460193673
20114,1,-1.5,18,19.04967657,1.00538784,6.699841613
20114,1,-1.5,7,10.81488936,1.006096471,3.45750228
20114,1,0,8,0,0,0.170843827
20114,1,0,9,0,0,0.351337945
20114,1,0,9,0,0,1.580245197
20114,1,0,8,0,0,1.855144145
20114,1,0,7,0,0,1.745023977
20114,1,0,5,0,0,0.747483587
20114,1,1.5,7,14.23938084,1.187018163,5.86631571
20114,1,1.5,11,15.10948911,0.940760451,5.760688403
20114,1,1.5,8,10.34657067,0.963336146,8.114858025
20114,1,1.5,10,26.43050781,0.985392518,14.37323772
20114,1,1.5,8,16.68128801,0.748245497,18.36690858
20114,1,1.5,9,17.37545815,1.11472448,16.74126797